,c1,c2,c3,c4,c5
222,"105,162,211","163,187,103","126,0,64","96,148,131","0,146,255"
223,"255,0,219","201,255,0","0,255,197","128,208,210","254,110,255"
224,"253,0,255","253,46,255","249,75,251","0,223,255","149,25,12"
225,"0,47,108","227,181,5","12,136,149","254,98,255","206,67,67"
226,"1,5,58","11,69,135","182,182,182","249,242,234","12,157,212"
227,"221,58,58","0,0,0","236,238,39","222,238,97","126,63,121"
228,"48,66,47","228,229,80","0,0,0","0,15,255","0,15,255"
229,"255,35,35","254,255,91","42,131,255","46,176,17","128,208,210"
230,"163,187,103","123,119,111","126,0,64","22,37,77","82,229,229"
231,"229,82,82","229,82,156","229,156,82","0,15,255","135,32,94"
232,"229,82,82","82,229,229","216,0,108","26,62,102","126,43,122"
233,"70,32,49","83,33,68","94,26,84","32,135,125","131,131,131"
234,"234,234,234","189,189,189","242,170,80","107,33,100","255,184,76"
235,"229,255,132","0,192,234","173,0,206","144,144,144","255,87,87"
236,"67,49,69","47,47,47","237,238,141","254,115,255","0,0,0"
237,"126,10,10","171,0,0","214,164,42","255,212,110","255,40,246"
238,"244,244,244","206,206,206","16,104,255","62,45,24","144,0,0"
239,"0,0,0","118,118,118","227,227,227","255,14,14","40,86,33"
240,"214,180,137","165,201,219","0,13,221","244,244,244","220,239,158"
241,"229,66,146","237,255,3","58,205,127","131,0,0","36,56,70"
242,"254,1,102","228,235,5","0,151,0","131,176,118","230,0,18"
243,"0,195,227","255,69,84","152,152,152","29,158,157","187,206,255"
244,"34,47,87","50,72,141","66,108,218","65,69,72","170,170,170"
245,"184,167,139","72,53,47","150,120,96","132,166,250","114,71,184"
246,"240,128,128","249,78,135","32,178,170","111,87,63","178,178,178"
247,"40,25,66","214,216,215","195,197,196","0,128,128","200,191,155"
248,"209,186,155","241,235,204","125,164,138","86,151,173","255,241,31"
249,"255,254,238","255,251,191","255,249,156","217,207,177","133,170,191"
250,"0,3,51","0,15,255","14,94,140","255,245,95","123,147,248"
251,"1,1,1","235,81,83","251,226,48","21,138,208","222,185,180"
252,"210,214,219","127,131,135","92,80,85","161,231,54","255,75,142"
253,"163,233,196","147,220,195","241,179,207","148,141,113","21,158,150"
254,"194,234,235","129,216,212","63,198,189","255,129,176","255,205,141"
255,"251,163,178","163,251,236","254,243,245","45,175,167","250,145,55"
256,"242,227,218","238,198,172","240,183,134","246,146,217","58,184,162"
257,"240,88,88","255,159,159","201,137,144","242,161,86","158,249,182"
258,"201,67,80","238,100,100","255,151,139","96,146,161","46,196,182"
259,"0,0,0","0,15,255","73,73,73","225,217,170","255,189,171"
260,"9,71,81","255,54,66","255,104,123","124,122,122","213,46,106"
261,"238,238,238","221,221,221","123,48,122","255,125,95","242,215,178"
262,"219,231,232","180,157,194","230,184,123","199,132,177","170,170,170"
263,"0,253,209","0,15,255","204,204,204","255,255,254","29,37,186"
264,"209,109,225","172,94,145","57,49,123","187,187,187","185,62,89"
265,"180,219,80","172,255,255","207,234,241","214,32,112","30,207,45"
266,"244,205,255","213,124,214","172,48,108","64,57,141","30,176,182"
267,"128,105,211","28,60,176","25,139,218","62,103,190","236,188,119"
268,"98,85,81","54,41,57","82,53,98","28,158,222","97,97,85"
269,"100,50,151","129,42,130","90,36,54","135,98,9","34,36,25"
270,"115,99,101","22,83,131","35,149,166","74,37,3","67,70,57"
271,"147,97,50","164,116,36","32,164,98","102,149,67","0,0,0"
272,"178,32,52","0,15,255","213,213,213","68,83,52","0,13,187"
273,"135,65,65","34,26,26","206,39,39","72,101,177","13,18,2"
274,"247,244,232","233,224,186","182,74,26","101,12,12","0,9,153"
275,"0,6,9","115,38,153","128,77,153","40,54,7","50,0,0"
276,"20,0,0","28,0,0","35,0,0","140,115,153","255,165,0"
277,"14,47,68","128,0,0","0,3,51","43,0,0","74,142,57"
278,"224,230,60","38,94,29","10,17,9","186,218,85","0,9,63"
279,"214,0,214","171,0,171","0,8,8","164,190,80","170,170,170"
280,"217,240,249","221,221,221","204,204,204","0,15,72","71,28,28"
281,"240,62,62","199,49,49","131,42,42","187,187,187","44,66,86"
282,"190,236,242","128,208,210","73,140,154","99,34,34","103,66,99"
283,"207,218,234","163,190,214","117,114,148","48,83,109","234,91,91"
284,"0,15,255","159,155,155","111,111,111","122,81,118","0,129,65"
285,"0,0,5","0,85,130","134,156,95","146,45,45","244,232,236"
286,"70,77,86","91,206,250","245,168,184","65,102,0","245,251,255"
287,"255,248,250","255,250,255","0,15,255","0,15,255","255,218,246"
288,"0,4,255","167,253,233","203,255,254","252,252,255","200,232,255"
289,"255,235,247","255,222,242","239,246,255","251,231,241","0,11,159"
290,"54,0,0","103,0,36","126,0,64","222,241,251","246,246,246"
291,"0,109,104","1,141,134","221,237,232","255,198,215","255,196,214"
292,"255,65,65","255,0,64","255,0,77","227,242,237","255,143,205"
293,"171,168,255","182,215,253","222,255,246","255,0,103","196,233,255"
294,"195,251,193","251,248,184","255,215,235","255,222,240","161,80,133"
295,"0,15,255","255,237,237","244,168,134","238,201,251","240,50,43"
296,"150,98,110","174,150,179","241,250,240","121,137,255","65,60,118"
297,"158,226,231","126,181,182","106,122,144","1,125,28","159,79,147"
298,"172,219,168","154,189,153","151,137,154","94,96,131","5,20,75"
299,"212,168,214","199,108,199","114,49,169","156,111,150","174,74,104"
300,"37,204,115","175,219,113","205,225,148","29,14,126","152,80,124"
301,"55,197,172","79,168,160","104,139,148","204,134,155","13,1,3"
302,"197,142,167","159,83,102","139,30,57","128,109,136","129,84,38"
303,"178,88,120","161,150,40","40,31,101","81,10,32","0,255,159"
304,"0,255,171","40,76,255","0,249,255","97,146,39","92,165,35"
305,"92,165,36","0,0,0","227,255,0","0,81,255","0,15,0"
306,"0,15,255","0,0,0","0,15,0","182,52,52","0,55,96"
307,"0,15,255","0,0,0","137,52,52","51,110,154","63,73,205"
308,"0,0,0","0,0,0","255,236,236","62,32,228","21,79,45"
309,"0,0,0","62,43,43","11,67,109","13,49,17","0,0,0"
310,"0,0,0","34,29,29","62,18,255","133,63,146","45,45,45"
311,"8,72,120","34,29,29","69,52,13","26,26,26","195,122,32"
312,"61,4,222","17,83,133","255,121,182","49,24,24","0,0,0"
313,"17,0,94","62,79,125","195,156,156","0,140,208","214,15,15"
314,"255,211,233","81,0,0","0,0,0","223,238,105","255,218,147"
315,"54,54,54","251,230,255","232,236,205","255,249,123","21,172,216"
316,"54,54,54","148,148,148","16,162,219","47,145,174","246,232,234"
317,"137,5,5","148,148,148","27,46,184","34,24,28","204,204,99"
318,"148,186,156","69,0,0","250,255,175","187,176,69","0,161,228"
319,"231,230,230","217,236,207","62,118,135","4,231,98","192,132,151"
320,"140,180,165","94,195,216","244,91,105","176,208,211","233,128,110"
321,"255,230,250","255,89,223","147,171,8","226,232,221","209,123,15"
322,"67,85,90","255,211,251","137,252,0","232,211,63","0,15,72"
323,"90,0,1","68,98,107","247,175,157","187,187,187","12,71,103"
324,"222,255,34","241,48,48","170,192,170","86,110,61","170,170,170"
325,"220,0,115","208,244,0","237,255,122","99,83,91","144,41,35"
326,"0,15,255","245,183,0","204,99,154","162,44,41","0,3,147"
327,"78,83,64","255,202,212","185,164,76","187,187,187","50,48,49"
328,"170,192,170","105,114,104","83,145,126","255,200,87","36,11,54"
329,"255,201,230","210,255,150","214,213,201","164,3,31","253,255,252"
