,c1,c2,c3,c4,c5
33781,"43,29,29","245,245,245","229,229,229","51,134,146","169,128,128"
33782,"110,73,120","228,185,185","57,123,118","94,61,51","0,0,0"
33783,"50,0,97","217,237,247","255,201,102","227,235,242","241,223,150"
33784,"167,9,9","0,15,255","171,171,171","223,238,53","223,223,223"
33785,"36,125,208","36,82,105","253,250,53","128,204,38","255,168,238"
33786,"0,249,255","66,139,202","255,244,0","217,26,64","221,217,147"
33787,"221,75,12","0,15,255","190,41,236","51,242,217","238,230,175"
33788,"227,118,58","0,0,0","231,21,53","255,191,128","132,206,204"
33789,"66,9,9","0,0,0","100,238,158","60,60,60","255,197,199"
33790,"6,86,139","134,134,134","148,0,0","198,113,6","92,64,103"
33791,"0,15,255","251,184,41","174,28,28","221,181,133","255,195,24"
33792,"255,222,242","96,59,3","0,15,255","105,210,139","249,205,36"
33793,"61,0,0","83,0,49","116,106,165","191,151,159","148,150,225"
33794,"128,141,131","120,37,61","116,138,178","206,137,99","132,92,80"
33795,"0,15,255","234,79,94","0,12,73","169,110,110","160,221,255"
33796,"255,0,206","255,4,4","255,215,235","231,174,125","218,194,170"
33797,"0,15,0","0,3,51","186,174,191","193,127,72","145,157,173"
33798,"0,15,0","0,58,73","243,210,255","197,154,100","230,229,227"
33799,"0,0,0","14,255,0","116,139,129","255,83,56","245,249,250"
33800,"242,249,250","0,3,51","102,87,78","122,91,63","0,5,85"
33801,"24,16,23","10,61,69","0,0,0","43,55,139","139,71,1"
33802,"255,192,35","92,255,139","54,183,40","66,150,220","9,20,16"
33803,"44,44,44","127,178,193","33,26,177","252,238,173","24,25,19"
33804,"44,44,44","107,255,100","246,244,163","227,218,223","255,0,56"
33805,"44,44,44","195,255,40","246,244,163","48,90,96","229,196,138"
33806,"44,44,44","247,249,22","204,204,204","253,221,160","137,72,4"
33807,"114,32,64","255,216,49","199,190,190","186,165,37","34,69,129"
33808,"46,35,36","255,195,72","227,0,34","103,85,110","35,118,207"
33809,"254,139,48","235,143,0","153,9,9","39,39,39","60,207,143"
33810,"102,85,76","197,161,94","63,54,144","246,169,178","0,30,255"
33811,"0,153,246","240,174,227","172,166,19","211,211,211","138,69,10"
33812,"138,39,229","205,161,254","9,26,58","154,107,107","169,168,163"
33813,"227,248,249","75,54,33","195,225,11","188,255,233","245,244,242"
33814,"227,248,249","111,21,21","243,255,230","184,41,41","75,38,37"
33815,"106,185,244","84,216,255","234,218,199","249,232,232","117,22,62"
33816,"0,15,255","138,157,178","207,221,242","234,231,231","170,170,170"
33817,"241,138,19","255,197,159","184,169,22","128,175,255","76,143,51"
33818,"0,15,0","0,12,0","206,144,103","28,234,229","54,119,39"
33819,"0,11,0","119,209,226","249,246,191","5,139,69","255,72,72"
33820,"0,11,0","60,127,197","169,164,239","205,205,205","62,62,62"
33821,"0,11,0","96,32,45","222,119,68","34,165,96","54,54,54"
33822,"0,11,0","68,75,110","125,143,215","255,155,186","49,102,86"
33823,"0,15,0","244,124,16","201,78,78","139,120,120","228,228,228"
33824,"240,209,23","255,123,6","198,40,40","122,78,94","218,229,233"
33825,"255,212,134","255,108,55","166,18,42","255,253,183","212,89,93"
33826,"243,30,104","2,22,49","88,56,47","0,163,231","180,200,225"
33827,"98,199,75","208,224,208","190,94,31","152,255,152","110,34,52"
33828,"203,118,9","192,53,53","216,147,90","233,0,67","211,167,72"
33829,"237,246,220","238,238,251","139,162,168","0,9,204","193,204,147"
33830,"210,242,244","179,241,255","41,38,34","187,187,187","141,253,213"
33831,"36,39,0","255,191,194","190,202,223","254,231,170","60,236,79"
33832,"120,120,120","255,255,189","151,10,10","171,171,171","246,224,133"
33833,"125,34,189","214,192,220","0,0,0","186,65,25","148,165,210"
33834,"43,3,3","240,252,252","180,181,170","7,61,73","241,241,241"
33835,"56,42,29","224,251,210","214,248,211","105,84,109","76,20,27"
33836,"113,149,151","210,207,255","245,177,81","112,20,106","112,183,189"
33837,"161,44,197","255,222,197","173,147,182","143,71,0","255,250,240"
33838,"28,23,18","187,229,209","0,0,251","0,0,0","240,255,255"
33839,"228,226,72","183,205,234","122,63,184","255,253,213","255,228,225"
33840,"68,79,69","180,174,174","208,48,104","192,238,255","0,15,255"
33841,"240,128,128","158,174,193","255,116,0","255,0,103","230,124,33"
33842,"255,182,193","179,0,91","45,189,252","0,81,255","33,183,83"
33843,"192,192,192","242,151,12","255,159,48","176,148,47","44,42,45"
33844,"192,192,192","255,135,0","0,1,189","114,81,48","36,36,63"
33845,"255,138,0","253,162,201","0,4,154","211,165,103","0,0,0"
33846,"255,228,225","211,211,211","110,158,245","140,140,148","225,167,217"
33847,"255,193,37","215,232,233","235,161,132","0,249,255","56,56,83"
33848,"224,171,171","108,251,255","110,225,245","170,214,255","0,15,255"
33849,"244,164,96","0,11,38","116,152,102","255,236,213","217,69,113"
33850,"246,180,210","251,152,0","222,221,247","225,52,52","159,119,78"
33851,"0,15,255","139,164,255","255,249,199","255,178,200","242,145,181"
33852,"167,181,217","0,255,143","204,204,204","255,178,219","145,204,217"
33853,"217,254,224","0,9,154","255,250,132","255,178,238","186,217,217"
33854,"169,238,255","0,2,204","128,0,128","252,178,255","0,0,0"
33855,"231,231,231","255,186,228","112,129,255","233,178,255","173,242,209"
33856,"238,169,255","0,151,255","247,210,211","214,178,255","141,14,14"
33857,"87,134,214","0,151,255","136,122,184","56,38,11","135,109,90"
33858,"206,169,255","0,15,148","246,114,99","195,178,255","170,170,170"
33859,"238,238,238","0,12,151","73,129,177","178,181,255","0,0,0"
33860,"239,240,102","0,7,151","225,196,141","178,200,255","125,72,37"
33861,"177,143,106","0,4,39","49,29,18","178,219,255","217,8,8"
33862,"255,250,205","116,36,124","131,128,236","178,238,255","116,116,116"
33863,"0,15,255","31,25,22","216,216,216","178,255,253","0,0,0"
33864,"247,202,201","60,56,54","37,42,87","178,255,235","193,193,193"
33865,"0,44,32","86,14,7","249,186,68","178,255,216","188,15,58"
33866,"0,89,96","160,143,104","249,206,28","178,255,197","40,40,38"
33867,"182,117,117","227,197,136","250,207,25","178,255,178","0,0,0"
33868,"131,136,137","221,221,221","124,0,255","197,255,178","98,83,120"
33869,"34,139,34","221,221,221","170,228,240","218,255,181","152,0,79"
33870,"34,139,34","84,32,120","47,56,40","236,255,181","189,149,61"
33871,"34,139,34","238,202,117","32,182,173","255,255,181","48,54,91"
33872,"228,171,37","222,222,219","14,90,239","255,236,181","15,23,44"
33873,"0,15,255","244,109,37","77,25,25","255,218,181","61,14,111"
33874,"238,238,238","174,242,230","251,250,235","255,199,181","25,149,21"
33875,"15,32,69","255,185,231","88,48,48","255,181,181","39,148,41"
33876,"58,54,54","107,201,128","174,164,164","255,81,110","207,225,226"
33877,"0,41,83","174,204,192","131,13,13","145,47,64","23,191,175"
33878,"106,106,106","0,45,62","36,47,129","246,149,166","23,191,175"
33879,"211,236,240","118,129,214","152,152,152","231,15,15","0,6,102"
33880,"204,49,49","228,190,174","240,223,223","215,90,26","103,48,137"
33881,"219,219,219","228,174,190","0,0,0","70,70,236","89,78,135"
33882,"194,204,41","222,254,140","95,66,66","70,70,236","219,54,54"
33883,"131,27,63","214,155,64","86,210,8","62,32,32","71,2,23"
33884,"62,99,92","255,217,160","130,213,251","216,30,30","255,214,157"
33885,"47,71,37","135,199,168","152,206,3","120,120,120","247,141,187"
33886,"39,39,39","255,115,115","189,155,155","120,120,120","61,91,192"
33887,"3,3,15","221,133,92","77,129,75","120,120,120","110,87,160"
33888,"2,84,3","255,202,58","229,0,229","120,120,120","185,255,238"
33889,"240,233,129","207,202,202","255,222,254","0,171,255","212,118,118"
33890,"0,0,0","166,255,225","255,76,255","120,120,120","221,171,71"
33891,"12,12,13","231,201,141","255,0,231","120,120,120","79,128,143"
33892,"186,15,15","156,124,39","63,155,163","141,78,44","148,195,215"
33893,"99,189,199","252,219,184","227,224,203","34,116,208","178,114,57"
33894,"0,53,225","95,80,69","238,196,133","255,161,0","4,4,4"
33895,"0,15,0","202,214,247","185,152,211","88,44,43","170,170,170"
33896,"242,72,15","218,72,72","174,208,232","216,216,216","0,15,0"
33897,"28,118,197","245,225,153","242,174,183","214,166,128","2,2,2"
33898,"89,89,89","135,134,159","57,61,107","0,255,223","240,255,4"
33899,"138,214,30","249,255,218","0,15,0","205,191,165","95,165,149"
33900,"174,154,71","171,141,141","229,117,55","140,7,7","97,165,0"
33901,"113,237,255","78,68,26","176,184,210","250,156,6","235,229,189"
33902,"150,0,0","213,68,233","181,236,155","13,13,13","160,140,140"
33903,"82,255,225","48,52,50","225,188,186","8,51,73","236,8,1"
33904,"20,21,21","255,0,121","175,199,140","0,15,255","236,152,129"
33905,"238,179,105","92,160,169","227,190,190","126,132,109","236,152,1"
33906,"0,15,255","255,218,40","27,74,99","39,39,39","236,8,65"
33907,"83,14,135","92,119,148","127,127,156","162,200,206","206,233,228"
33908,"0,133,255","63,81,101","197,189,143","157,157,157","255,254,225"
33909,"0,255,236","11,100,0","148,173,174","187,187,187","0,15,0"
33910,"0,223,255","136,178,162","60,27,12","187,187,187","240,6,171"
33911,"227,204,62","150,169,132","231,209,116","187,187,187","255,77,0"
33912,"227,204,62","225,215,215","102,134,201","187,187,187","170,170,170"
33913,"245,216,249","252,112,19","212,183,138","229,163,163","0,3,12"
33914,"118,30,71","253,113,20","146,0,0","187,187,187","227,166,166"
33915,"0,12,240","57,33,115","236,76,7","212,181,149","254,255,132"
33916,"0,12,240","226,183,222","131,131,131","255,196,154","64,17,19"
33917,"0,12,240","181,170,182","0,15,255","171,40,86","54,7,7"
33918,"0,12,240","219,189,211","0,15,255","253,237,173","50,71,66"
33919,"0,12,240","149,125,125","0,15,255","64,194,31","244,115,71"
33920,"94,94,94","130,143,208","216,74,74","106,90,205","95,2,31"
33921,"245,102,120","94,184,173","0,15,0","100,149,237","0,32,36"
33922,"0,15,208","255,220,136","201,183,157","187,187,187","251,219,219"
33923,"255,200,179","143,85,204","193,222,182","13,209,91","193,138,94"
33924,"11,20,101","234,142,3","242,218,192","113,100,34","38,42,56"
33925,"221,175,187","189,9,9","40,48,24","189,16,12","170,170,170"
33926,"0,15,0","214,80,80","184,35,212","0,0,0","0,0,0"
33927,"249,249,249","246,90,222","51,142,197","255,241,156","200,205,209"
33928,"102,52,103","71,71,71","189,113,113","255,0,206","53,92,125"
33929,"150,0,0","169,220,244","231,195,158","40,4,88","238,241,189"
33930,"6,0,77","128,0,0","255,174,203","204,125,125","172,233,245"
33931,"56,54,88","255,215,154","189,82,82","6,225,208","225,157,255"
33932,"0,15,0","205,135,159","72,18,18","115,78,154","148,255,171"
33933,"0,0,0","161,57,57","245,226,255","239,226,255","2,222,255"
33934,"0,223,255","148,45,45","2,218,147","154,126,184","171,0,255"
33935,"0,15,255","163,49,49","154,154,154","148,127,171","0,15,0"
33936,"0,0,0","156,39,39","9,237,195","86,86,86","207,204,164"
33937,"0,0,0","0,255,197","36,36,36","105,79,121","218,225,229"
33938,"255,200,241","0,10,115","208,71,132","113,204,236","241,212,224"
33939,"251,255,206","0,154,65","106,31,65","234,137,152","79,79,79"
33940,"202,246,212","167,167,167","216,101,101","145,148,112","170,170,170"
33941,"172,219,201","46,54,65","178,118,169","35,137,126","118,89,144"
33942,"255,246,143","0,13,199","31,67,122","195,102,82","36,34,34"
33943,"148,208,185","0,1,57","217,217,217","119,169,162","0,0,244"
33944,"147,210,186","221,221,221","252,252,184","113,173,97","0,0,0"
33945,"107,148,142","79,8,8","118,118,118","41,10,18","58,105,51"
33946,"120,109,77","159,203,238","206,206,206","49,77,44","0,172,230"
33947,"234,227,219","51,49,49","80,183,124","82,75,161","28,2,2"
33948,"219,199,102","251,171,64","227,255,0","216,132,0","220,50,86"
33949,"238,209,89","223,50,131","238,216,4","71,168,181","96,81,81"
33950,"163,67,24","20,17,245","0,7,119","126,227,232","195,230,251"
33951,"184,144,77","43,176,255","213,164,255","150,179,206","94,72,72"
33952,"249,242,84","230,226,218","73,71,154","0,5,51","37,53,71"
33953,"251,253,28","255,102,178","105,189,149","0,15,255","15,47,51"
33954,"45,44,36","255,165,0","0,15,255","194,235,255","145,159,163"
33955,"0,210,255","190,230,75","253,252,252","0,0,0","255,211,215"
33956,"0,255,236","221,221,221","192,189,39","44,46,58","254,196,146"
33957,"208,93,2","204,51,54","140,42,42","38,29,77","142,178,215"
33958,"74,146,174","94,100,105","35,54,77","223,52,32","0,0,0"
33959,"74,174,79","0,223,223","0,15,255","250,251,172","225,234,231"
33960,"198,198,198","227,158,3","197,190,190","66,35,8","255,237,130"
33961,"239,168,146","183,42,98","4,41,56","239,255,252","249,208,16"
33962,"103,200,255","209,29,29","196,63,35","227,175,204","214,199,149"
33963,"103,200,255","228,234,188","0,93,132","212,9,9","0,15,255"
33964,"134,223,216","218,148,42","174,146,146","174,147,37","217,150,82"
33965,"92,49,112","195,191,191","174,146,146","179,190,68","244,159,201"
33966,"244,158,158","7,0,204","10,183,44","11,26,125","244,159,223"
33967,"141,233,224","154,117,117","224,224,224","128,86,165","244,159,244"
33968,"251,29,68","134,195,195","2,102,87","83,137,174","223,159,244"
33969,"45,55,65","131,111,111","0,7,15","182,79,147","201,159,244"
33970,"219,215,191","43,34,21","78,37,149","100,52,52","180,159,244"
33971,"195,231,218","154,121,221","79,129,189","178,40,40","159,159,244"
33972,"71,37,19","180,82,0","0,15,255","102,143,79","159,180,244"
33973,"176,1,1","0,0,0","0,128,64","128,128,128","159,201,244"
33974,"204,81,81","124,23,23","96,128,128","203,142,13","159,223,244"
33975,"192,210,217","140,184,172","70,7,7","227,206,185","159,244,244"
33976,"245,249,220","221,223,59","150,229,102","187,187,187","159,244,223"
33977,"181,225,217","231,210,210","66,71,71","127,255,212","159,244,201"
33978,"207,210,212","62,49,69","249,212,255","178,0,0","159,244,180"
33979,"208,202,202","216,62,80","242,197,75","1,20,41","159,244,159"
33980,"3,50,249","226,208,65","250,249,233","26,152,169","180,244,159"
33981,"215,164,251","0,155,232","235,235,231","235,235,235","201,244,159"
33982,"10,120,51","100,50,0","199,180,155","244,235,246","223,244,159"
33983,"81,189,255","6,187,5","7,90,76","0,15,255","244,244,159"
33984,"253,255,215","219,221,236","88,63,199","0,0,0","118,116,137"
33985,"50,47,66","39,37,54","199,159,139","187,187,187","244,223,159"
33986,"199,231,255","244,244,244","107,129,17","238,225,193","244,201,159"
33987,"12,255,139","232,66,15","241,122,156","221,242,246","244,180,159"
33988,"138,255,129","160,214,255","140,255,200","242,219,234","244,159,159"
33989,"209,17,65","192,255,172","186,230,175","204,120,92","249,129,245"
33990,"178,183,88","5,109,0","66,122,240","215,234,231","193,129,249"
33991,"255,253,189","115,255,0","0,7,119","15,96,137","163,129,249"
33992,"255,247,0","103,0,0","255,201,0","41,103,135","133,129,249"
33993,"62,201,216","0,209,61","115,129,145","208,144,160","129,155,249"
33994,"54,78,199","255,247,116","93,84,17","54,0,33","129,185,249"
33995,"194,231,242","226,0,0","39,20,0","36,6,29","129,215,249"
33996,"197,255,116","152,0,212","54,234,234","251,248,248","129,245,249"
33997,"86,53,12","0,189,17","14,133,22","224,253,252","149,149,210"
33998,"255,56,166","214,128,189","65,65,65","129,26,141","170,170,170"
33999,"255,219,4","0,250,154","233,156,37","215,255,183","12,73,9"
34000,"88,25,25","196,148,28","234,177,140","246,199,0","9,14,45"
34001,"47,50,191","0,249,255","98,26,99","254,192,255","77,68,68"
34002,"8,28,141","137,0,255","195,201,191","109,25,72","14,27,124"
34003,"114,22,170","21,0,255","202,198,198","148,85,249","36,46,120"
34004,"192,144,22","255,245,27","204,204,204","236,255,200","104,137,255"
34005,"63,11,52","255,163,113","255,244,0","142,124,155","30,18,49"
34006,"16,24,97","52,144,68","184,183,179","95,249,160","154,119,95"
34007,"195,133,216","163,249,160","55,98,222","137,126,187","198,142,229"
34008,"211,223,113","96,71,71","154,221,189","9,135,101","7,78,122"
34009,"143,140,171","227,137,0","255,240,0","150,137,137","233,225,238"
34010,"186,193,204","255,172,172","254,255,106","0,9,192","249,207,178"
34011,"207,200,194","255,222,164","229,43,43","162,198,23","162,189,234"
34012,"16,69,85","212,206,70","0,15,255","229,222,148","204,114,168"
34013,"229,237,243","238,226,168","152,3,53","25,149,173","97,99,101"
34014,"0,0,0","171,201,217","94,90,11","159,103,244","196,155,234"
34015,"0,0,0","37,201,37","200,228,231","159,199,100","170,170,170"
34016,"115,169,61","182,42,42","200,228,231","212,204,196","122,20,25"
34017,"167,231,236","246,15,90","0,27,102","217,247,247","80,70,124"
34018,"242,75,209","79,141,146","239,243,230","111,199,244","69,17,17"
34019,"253,229,232","217,105,31","164,167,127","70,55,178","20,189,167"
34020,"176,223,231","228,167,136","195,233,112","255,188,192","255,192,203"
34021,"244,231,241","229,229,229","0,241,255","46,178,120","236,58,139"
34022,"221,165,170","0,15,255","204,204,204","208,212,235","34,71,94"
34023,"227,120,156","255,226,225","120,120,120","74,76,165","124,110,27"
34024,"139,187,106","255,238,173","161,172,183","38,139,210","32,51,30"
34025,"242,227,190","249,245,182","124,125,126","0,0,0","31,111,122"
34026,"67,127,180","0,13,221","123,130,184","103,14,95","178,228,212"
34027,"218,244,155","148,197,195","106,234,247","223,68,92","70,130,180"
34028,"240,249,97","239,197,206","242,166,12","234,189,144","0,0,0"
34029,"167,106,58","144,166,129","162,242,150","0,15,147","0,0,0"
34030,"108,137,18","144,166,129","236,102,11","253,255,213","74,112,139"
34031,"96,116,49","240,128,128","5,56,59","196,125,133","0,0,0"
34032,"51,20,12","2,249,154","246,215,156","87,35,30","170,170,170"
34033,"82,59,47","157,255,43","47,21,111","255,198,39","186,60,60"
34034,"250,217,136","254,129,129","249,177,128","14,34,31","138,126,126"
34035,"236,243,244","255,154,0","169,56,159","117,7,7","47,47,47"
34036,"11,57,109","26,82,204","150,116,0","38,38,38","197,85,85"
34037,"13,83,57","195,0,0","105,81,0","228,249,57","62,40,77"
34038,"80,182,103","206,152,85","178,52,6","214,132,168","100,134,150"
34039,"242,206,100","0,15,0","127,98,0","44,79,75","72,80,90"
34040,"71,48,79","123,114,165","109,112,115","128,0,0","0,0,0"
34041,"216,128,199","113,127,153","112,111,116","106,0,106","80,54,83"
34042,"104,62,107","0,15,0","232,242,76","255,251,243","234,197,153"
34043,"77,75,75","255,183,183","140,108,0","60,1,19","0,0,108"
34044,"145,129,90","219,202,214","63,49,0","0,15,255","249,225,126"
34045,"15,1,1","255,236,249","159,163,164","93,93,93","195,186,186"
34046,"135,175,199","87,118,105","255,198,9","192,192,192","193,242,135"
34047,"0,0,128","54,29,29","139,165,192","128,198,249","246,246,246"
34048,"0,0,128","240,248,255","182,211,237","150,147,147","123,133,167"
34049,"255,244,0","15,53,25","88,82,72","105,111,114","165,12,117"
34050,"255,244,0","138,141,217","213,164,0","255,252,233","226,213,229"
34051,"0,0,255","201,200,122","174,193,20","126,47,91","166,242,165"
34052,"0,15,0","14,7,42","87,120,168","103,32,79","170,170,170"
34053,"253,255,0","25,23,109","213,164,0","255,215,215","255,198,198"
34054,"240,255,0","43,65,141","218,178,124","129,166,198","5,142,188"
34055,"0,15,0","255,235,205","10,124,0","236,236,236","214,138,138"
34056,"4,60,95","229,7,7","252,135,193","255,250,207","245,78,130"
34057,"23,113,183","101,63,103","134,223,50","11,204,49","149,142,130"
34058,"0,2,15","69,68,21","152,167,224","0,15,255","250,217,206"
34059,"135,37,37","215,236,238","60,128,189","0,0,0","151,183,147"
34060,"73,255,0","184,180,57","119,148,137","253,186,206","185,58,58"
34061,"5,154,128","255,255,230","255,237,63","207,225,194","192,16,69"
34062,"52,156,85","66,79,67","162,130,141","197,92,92","170,170,170"
34063,"39,39,39","242,211,211","160,204,64","187,187,187","253,233,235"
34064,"208,0,0","37,19,154","184,146,187","8,51,73","253,233,171"
34065,"216,229,9","50,81,35","67,210,54","8,51,73","61,233,171"
34066,"3,121,210","216,253,207","238,200,90","21,255,0","61,199,237"
34067,"90,240,236","240,202,237","34,99,45","42,68,81","0,85,164"
34068,"0,15,255","172,198,172","185,234,78","41,50,179","128,85,180"
34069,"182,0,0","231,246,253","101,63,63","50,144,126","146,183,195"
34070,"0,15,0","188,139,54","93,156,136","0,236,255","189,0,0"
34071,"253,91,3","21,101,192","63,184,175","50,50,50","201,86,28"
34072,"19,19,19","66,1,5","110,240,230","0,12,102","0,0,0"
34073,"104,186,134","115,87,66","250,117,22","0,15,0","132,15,23"
34074,"102,2,34","125,158,165","224,226,227","0,15,0","32,63,25"
34075,"243,150,172","188,164,117","165,0,0","0,12,147","151,172,249"
34076,"238,72,30","29,53,65","15,137,117","139,139,139","170,170,170"
34077,"88,63,25","85,92,61","106,184,155","0,245,255","74,152,229"
34078,"34,11,31","165,156,189","255,179,138","255,167,0","219,107,107"
34079,"255,236,238","213,15,15","171,20,20","203,16,253","58,50,50"
34080,"81,90,32","0,15,255","28,14,14","83,194,187","155,142,182"
34081,"49,12,62","74,142,53","130,6,6","255,248,176","0,0,0"
34082,"122,68,38","246,203,214","0,13,173","0,4,255","246,183,251"
34083,"213,220,231","248,139,129","150,0,255","243,0,84","255,41,0"
34084,"244,236,231","138,102,152","226,159,0","143,225,194","28,45,81"
34085,"244,232,196","45,183,226","47,69,92","255,0,219","39,68,129"
34086,"238,22,22","80,21,131","116,112,112","166,206,16","0,11,187"
34087,"255,143,116","179,0,91","252,201,212","228,172,207","170,170,170"
34088,"234,251,250","0,210,255","243,179,153","3,4,0","219,68,55"
34089,"216,209,204","238,173,181","131,118,126","242,164,0","9,107,50"
34090,"163,202,212","121,224,255","244,154,63","90,156,90","37,65,105"
34091,"246,239,220","0,0,141","122,50,61","255,222,115","35,132,211"
34092,"248,95,79","0,2,121","127,191,35","156,189,231","183,247,243"
34093,"10,28,42","0,15,195","205,208,203","255,113,134","202,1,255"
34094,"207,63,55","245,95,81","124,121,121","15,36,4","255,241,158"
34095,"99,189,164","255,246,102","255,145,84","255,223,0","107,40,136"
34096,"45,42,39","138,102,152","79,255,247","152,15,15","213,37,83"
34097,"178,249,197","173,103,30","227,240,242","79,0,0","255,168,112"
34098,"0,0,0","66,212,176","255,218,245","255,200,200","65,42,120"
34099,"172,108,80","221,221,221","211,238,255","92,7,7","255,0,128"
34100,"19,167,189","203,162,255","0,184,201","248,224,248","170,170,170"
34101,"95,203,212","0,15,0","106,107,118","208,255,240","11,12,12"
34102,"214,45,32","94,195,157","33,33,33","139,69,19","19,58,172"
34103,"237,208,192","246,203,214","16,16,16","245,219,55","188,154,182"
34104,"64,224,208","206,193,251","141,141,141","185,75,67","103,62,3"
34105,"72,129,27","181,90,108","53,161,109","92,60,45","43,100,135"
34106,"124,65,153","107,199,230","81,163,195","171,142,130","145,145,145"
34107,"153,184,152","188,210,221","156,87,87","0,15,255","0,7,119"
34108,"153,184,152","81,56,18","37,109,189","0,0,0","0,0,0"
34109,"255,216,1","45,30,109","204,204,204","8,234,12","152,0,0"
34110,"0,0,144","189,189,189","129,108,108","87,249,188","255,174,188"
34111,"0,0,0","0,15,255","219,199,118","255,195,23","218,95,255"
34112,"0,0,0","221,255,145","227,168,94","244,201,98","228,198,125"
34113,"163,40,40","253,224,92","212,113,113","30,6,6","37,7,133"
34114,"0,0,0","236,249,97","229,221,196","210,199,60","65,173,73"
34115,"60,57,54","240,0,255","171,13,38","119,145,231","50,50,50"
34116,"165,165,165","255,181,211","0,12,249","80,118,53","19,53,97"
34117,"0,84,160","128,201,91","204,204,204","255,0,141","15,40,72"
34118,"87,207,255","232,233,254","181,190,151","229,229,229","255,195,160"
34119,"0,15,255","119,169,8","0,14,238","0,15,255","236,91,96"
34120,"56,199,66","221,221,221","30,156,38","0,15,255","170,170,170"
34121,"37,103,5","215,168,242","77,171,79","0,15,255","7,103,111"
34122,"138,255,128","133,78,78","48,129,30","0,15,255","249,151,85"
34123,"221,255,253","9,15,58","44,124,19","212,25,54","255,225,213"
34124,"192,255,109","167,25,25","114,103,101","0,120,255","0,0,0"
34125,"232,232,232","60,165,157","189,201,170","168,184,208","255,223,223"
34126,"247,252,198","247,255,123","147,152,103","187,187,187","82,19,43"
34127,"183,211,255","206,127,101","59,117,139","73,0,0","210,234,255"
34128,"255,186,238","0,15,0","131,70,61","167,141,219","231,190,255"
34129,"41,29,5","0,0,255","198,221,236","163,140,70","203,250,234"
34130,"188,55,223","80,189,12","0,178,255","182,157,99","111,62,133"
34131,"187,134,176","167,234,249","153,204,77","84,90,20","169,0,68"
34132,"27,108,210","156,212,0","230,51,77","187,187,187","57,61,103"
34133,"255,193,117","234,217,217","102,230,230","192,208,223","159,136,130"
34134,"223,0,0","79,109,64","255,179,153","236,201,201","83,110,43"
34135,"255,116,0","0,206,206","43,43,43","227,192,195","92,14,57"
34136,"9,0,255","249,192,232","238,220,112","246,250,241","52,32,103"
34137,"9,0,255","0,0,95","238,214,169","255,155,155","178,25,25"
34138,"165,22,8","0,15,0","75,180,161","255,160,80","151,151,151"
34139,"187,0,155","56,171,180","161,115,131","187,187,187","185,193,201"
34140,"0,0,0","227,219,203","195,114,86","134,66,152","255,115,115"
34141,"111,104,52","253,249,244","141,91,91","251,0,152","195,223,243"
34142,"2,0,71","197,167,214","238,198,149","0,0,0","71,141,199"
34143,"0,15,255","189,219,237","208,152,95","245,130,140","129,187,253"
34144,"255,180,0","237,184,199","180,128,93","180,30,30","73,45,16"
34145,"198,245,15","71,92,135","241,65,0","95,51,22","249,249,249"
34146,"0,191,255","255,133,43","204,168,132","200,173,127","148,161,207"
34147,"0,191,255","0,15,255","61,94,249","52,62,81","205,92,92"
34148,"16,74,115","75,54,33","98,174,231","174,219,199","233,235,255"
34149,"239,128,59","200,236,183","195,146,79","234,201,64","255,238,196"
34150,"226,142,90","238,219,217","209,167,127","162,0,255","255,200,208"
34151,"43,80,5","221,218,160","205,172,216","224,224,224","170,170,170"
34152,"138,255,217","255,189,182","251,175,164","187,187,187","60,179,113"
34153,"89,197,189","166,201,219","146,109,52","239,182,182","0,15,255"
34154,"48,81,42","155,150,189","18,18,18","193,235,221","161,144,122"
34155,"239,128,59","216,206,163","96,96,96","238,180,180","245,218,95"
34156,"154,114,91","162,195,166","253,199,223","131,28,193","244,147,31"
34157,"122,219,231","66,34,20","194,206,236","238,237,209","0,121,163"
34158,"107,255,251","244,220,146","182,97,97","221,213,203","255,77,0"
34159,"28,26,26","130,184,210","181,219,249","186,203,210","246,186,186"
34160,"75,37,31","219,169,74","253,255,0","221,246,241","125,125,135"
34161,"229,251,203","199,0,0","242,191,225","165,180,132","255,231,0"
34162,"255,218,218","228,225,220","254,86,7","56,50,40","0,199,13"
34163,"183,189,101","228,225,220","166,203,255","95,0,0","61,61,61"
34164,"39,12,39","107,107,107","0,207,202","54,54,54","107,94,69"
34165,"0,84,64","0,0,0","38,32,123","203,225,224","251,240,3"
34166,"195,33,72","0,0,0","255,131,0","156,88,88","32,32,32"
34167,"238,161,135","182,182,182","7,8,84","212,211,201","0,15,255"
34168,"0,11,238","182,182,182","73,69,247","156,144,144","0,1,68"
34169,"255,198,208","182,182,182","204,204,204","187,187,187","0,0,0"
34170,"255,160,203","219,195,150","142,63,82","234,227,137","170,170,170"
34171,"184,235,236","163,163,163","46,59,80","154,206,210","72,20,75"
34172,"184,236,201","221,45,45","212,95,255","0,10,150","74,13,101"
34173,"97,99,208","193,222,181","177,156,217","255,0,219","170,170,170"
34174,"27,45,121","186,178,165","242,47,136","242,242,242","0,171,255"
34175,"165,255,182","114,159,152","154,189,198","155,161,177","253,236,133"
34176,"77,77,128","109,0,249","146,6,55","65,70,119","197,197,197"
34177,"59,34,25","138,175,197","255,203,101","248,210,232","111,111,111"
34178,"0,10,188","255,244,239","152,152,152","61,89,171","0,15,255"
34179,"211,249,255","229,117,139","19,129,161","0,15,0","1,82,255"
