,c1,c2,c3,c4,c5,c1_feel,c1_sentiment,c2_feel,c2_sentiment,c3_feel,c3_sentiment,c4_feel,c4_sentiment,c5_feel,c5_sentiment
87,"255,98,0","255,192,0","160,255,0","0,234,255","66,0,116",,0,,0,,0,,0,,0
88,"255,88,88","174,30,138","44,71,103","255,181,106","255,250,135",,0,,0,,0,,0,,0
89,"42,39,45","79,56,61","81,80,65","136,137,127","234,226,222",,0,,0,,0,,0,,0
90,"161,50,34","191,139,147","60,16,29","186,99,51","221,218,213",,0,,0,,0,,0,,0
91,"96,56,60","223,145,43","234,213,195","253,215,111","126,40,34",,0,,0,,0,,0,,0
92,"75,37,53","216,210,216","171,151,176","118,99,104","101,81,87",,0,,0,,0,,0,,0
93,"208,40,40","236,112,121","246,200,179","81,105,46","96,70,48",,0,,0,,0,,0,,0
94,"201,152,71","231,214,138","71,88,42","229,209,176","118,76,36",,0,,0,,0,,0,,0
95,"17,79,37","66,56,51","204,199,184","147,159,165","185,212,164",,0,,0,,0,,0,,0
96,"242,118,124","82,201,187","47,16,11","231,26,26","137,93,55",,0,,0,,0,,0,,0
97,"106,95,88","193,173,157","149,120,105","236,195,216","54,30,17",,0,,0,,0,,0,,0
98,"125,118,200","90,68,60","176,168,214","162,220,218","235,230,235",,0,,0,,0,,0,,0
99,"255,57,2","255,128,7","255,180,4","5,186,221","43,72,113",,0,,0,,0,,0,,0
100,"255,0,147","0,201,202","255,149,0","255,223,104","0,15,255",,0,,0,,0,,0,,0
101,"38,2,197","0,184,255","0,223,255","92,91,91","0,0,0",,0,,0,,0,,0,,0
102,"243,3,3","3,57,57","0,233,220","248,243,245","209,130,50",,0,,0,,0,,0,,0
103,"255,224,185","255,212,146","244,191,108","137,105,64","130,156,82",,0,,0,,0,,0,,0
104,"253,255,54","255,0,167","9,255,0","201,0,255","255,154,0",,0,,0,,0,,0,,0
105,"60,105,210","101,186,223","162,242,236","130,190,246","63,76,163",,0,,0,,0,,0,,0
106,"86,60,76","111,66,72","141,82,72","186,121,88","210,146,111",,0,,0,,0,,0,,0
107,"126,62,120","133,67,148","151,95,180","151,110,210","214,202,240",,0,,0,,0,,0,,0
108,"0,15,255","221,221,221","186,186,186","212,103,103","184,72,72",,0,,0,,0,,0,,0
109,"255,210,173","242,195,148","225,179,133","255,224,193","255,205,154",,0,,0,,0,,0,,0
110,"255,206,204","186,38,68","76,7,44","0,188,181","182,195,153",,0,,0,,0,,0,,0
111,"178,186,246","201,178,246","232,178,246","133,197,137","105,161,108",,0,,0,,0,,0,,0
112,"166,223,235","107,170,196","22,198,244","183,189,28","253,144,64",,0,,0,,0,,0,,0
113,"243,207,32","59,91,157","239,200,236","215,212,212","39,34,34",,0,,0,,0,,0,,0
114,"241,130,0","238,180,91","255,241,211","88,233,249","45,145,189",,0,,0,,0,,0,,0
115,"246,246,246","166,179,208","155,165,193","186,169,151","165,144,117",,0,,0,,0,,0,,0
116,"253,255,66","84,77,77","255,184,184","0,15,255","83,30,255",,0,,0,,0,,0,,0
117,"255,246,161","251,186,170","238,200,249","161,224,242","187,236,182",,0,,0,,0,,0,,0
118,"214,180,137","165,201,219","0,13,221","131,0,0","40,86,33",,0,,0,,0,,0,,0
119,"229,66,146","237,255,3","58,205,127","131,176,118","220,239,158",,0,,0,,0,,0,,0
120,"254,1,102","228,235,5","0,151,0","29,158,157","36,56,70",,0,,0,,0,,0,,0
121,"0,195,227","255,69,84","152,152,152","65,69,72","230,0,18",,0,,0,,0,,0,,0
122,"34,47,87","50,72,141","66,108,218","132,166,250","187,206,255",,0,,0,,0,,0,,0
123,"184,167,139","72,53,47","150,120,96","111,87,63","170,170,170",,0,,0,,0,,0,,0
124,"240,128,128","249,78,135","32,178,170","0,128,128","114,71,184",,0,,0,,0,,0,,0
125,"40,25,66","214,216,215","195,197,196","86,151,173","178,178,178",,0,,0,,0,,0,,0
126,"209,186,155","241,235,204","125,164,138","217,207,177","200,191,155",,0,,0,,0,,0,,0
127,"255,254,238","255,251,191","255,249,156","255,245,95","255,241,31",,0,,0,,0,,0,,0
128,"0,3,51","0,15,255","14,94,140","21,138,208","133,170,191",,0,,0,,0,,0,,0
129,"1,1,1","235,81,83","251,226,48","161,231,54","123,147,248",,0,,0,,0,,0,,0
130,"210,214,219","127,131,135","92,80,85","148,141,113","222,185,180",,0,,0,,0,,0,,0
131,"163,233,196","147,220,195","241,179,207","255,129,176","255,75,142",,0,,0,,0,,0,,0
132,"194,234,235","129,216,212","63,198,189","45,175,167","21,158,150",,0,,0,,0,,0,,0
133,"251,163,178","163,251,236","254,243,245","246,146,217","255,205,141",,0,,0,,0,,0,,0
134,"242,227,218","238,198,172","240,183,134","242,161,86","250,145,55",,0,,0,,0,,0,,0
135,"240,88,88","255,159,159","201,137,144","96,146,161","58,184,162",,0,,0,,0,,0,,0
136,"201,67,80","238,100,100","255,151,139","225,217,170","158,249,182",,0,,0,,0,,0,,0
137,"0,0,0","0,15,255","73,73,73","124,122,122","46,196,182",,0,,0,,0,,0,,0
138,"9,71,81","255,54,66","255,104,123","255,125,95","255,189,171",,0,,0,,0,,0,,0
139,"238,238,238","221,221,221","123,48,122","199,132,177","213,46,106",,0,,0,,0,,0,,0
140,"219,231,232","180,157,194","230,184,123","255,255,254","242,215,178",,0,,0,,0,,0,,0
141,"0,253,209","0,15,255","204,204,204","187,187,187","170,170,170",,0,,0,,0,,0,,0
142,"209,109,225","172,94,145","57,49,123","214,32,112","29,37,186",,0,,0,,0,,0,,0
143,"180,219,80","172,255,255","207,234,241","64,57,141","185,62,89",,0,,0,,0,,0,,0
144,"244,205,255","213,124,214","172,48,108","62,103,190","30,207,45",,0,,0,,0,,0,,0
145,"128,105,211","28,60,176","25,139,218","28,158,222","30,176,182",,0,,0,,0,,0,,0
146,"98,85,81","54,41,57","82,53,98","135,98,9","236,188,119",,0,,0,,0,,0,,0
147,"100,50,151","129,42,130","90,36,54","74,37,3","97,97,85",,0,,0,,0,,0,,0
148,"115,99,101","22,83,131","35,149,166","102,149,67","34,36,25",,0,,0,,0,,0,,0
149,"147,97,50","164,116,36","32,164,98","68,83,52","67,70,57",,0,,0,,0,,0,,0
150,"178,32,52","0,15,255","213,213,213","72,101,177","0,0,0",,0,,0,,0,,0,,0
151,"135,65,65","34,26,26","206,39,39","101,12,12","0,13,187",,0,,0,,0,,0,,0
152,"247,244,232","233,224,186","182,74,26","40,54,7","13,18,2",,0,,0,,0,,0,,0
153,"0,6,9","115,38,153","128,77,153","140,115,153","0,9,153",,0,,0,,0,,0,,0
154,"20,0,0","28,0,0","35,0,0","43,0,0","50,0,0",,0,,0,,0,,0,,0
155,"14,47,68","128,0,0","0,3,51","186,218,85","255,165,0",,0,,0,,0,,0,,0
156,"224,230,60","38,94,29","10,17,9","164,190,80","74,142,57",,0,,0,,0,,0,,0
157,"214,0,214","171,0,171","0,8,8","0,15,72","0,9,63",,0,,0,,0,,0,,0
158,"90,0,1","241,48,48","244,91,105","34,24,28","246,232,234",,0,,0,,0,,0,,0
159,"222,255,34","208,244,0","147,171,8","187,176,69","204,204,99",,0,,0,,0,,0,,0
160,"220,0,115","245,183,0","137,252,0","4,231,98","0,161,228",,0,,0,,0,,0,,0
161,"0,15,255","255,202,212","247,175,157","176,208,211","192,132,151",,0,,0,,0,,0,,0
162,"78,83,64","105,114,104","170,192,170","226,232,221","233,128,110",,0,,0,,0,,0,,0
163,"170,192,170","210,255,150","237,255,122","232,211,63","209,123,15",,0,,0,,0,,0,,0
164,"255,201,230","255,175,217","204,99,154","187,187,187","0,15,72",,0,,0,,0,,0,,0
165,"250,121,33","254,153,32","185,164,76","86,110,61","12,71,103",,0,,0,,0,,0,,0
166,"252,208,161","177,182,149","83,145,126","99,83,91","170,170,170",,0,,0,,0,,0,,0
167,"10,16,13","185,186,163","214,213,201","162,44,41","144,41,35",,0,,0,,0,,0,,0
168,"137,255,45","91,195,11","68,133,18","187,187,187","0,3,147",,0,,0,,0,,0,,0
169,"23,126,137","8,76,97","219,58,52","255,200,87","50,48,49",,0,,0,,0,,0,,0
170,"242,220,93","242,163,89","219,144,101","164,3,31","36,11,54",,0,,0,,0,,0,,0
171,"1,22,39","185,19,114","0,15,2","65,234,212","253,255,252",,0,,0,,0,,0,,0
172,"0,3,147","0,15,195","0,15,144","0,15,72","0,9,63",,0,,0,,0,,0,,0
173,"58,79,65","185,49,79","213,161,142","222,195,190","225,222,227",,0,,0,,0,,0,,0
174,"126,25,70","166,52,70","12,98,145","0,0,4","251,254,249",,0,,0,,0,,0,,0
175,"0,38,38","14,71,73","149,198,35","229,88,18","239,231,218",,0,,0,,0,,0,,0
176,"15,82,87","11,49,66","156,146,163","198,185,205","214,211,240",,0,,0,,0,,0,,0
177,"101,101,101","128,135,130","166,211,160","179,255,179","209,255,215",,0,,0,,0,,0,,0
178,"28,119,195","57,169,219","64,188,216","243,146,55","214,50,48",,0,,0,,0,,0,,0
179,"201,220,179","198,202,83","123,114,99","95,96,98","85,83,88",,0,,0,,0,,0,,0
180,"97,33,15","234,43,31","237,174,73","249,223,116","249,237,204",,0,,0,,0,,0,,0
181,"202,5,77","59,28,50","185,109,64","255,207,156","164,212,180",,0,,0,,0,,0,,0
182,"64,32,32","168,56,56","64,112,88","104,128,112","187,205,205",,0,,0,,0,,0,,0
183,"32,40,64","128,16,64","64,88,88","184,200,200","200,192,192",,0,,0,,0,,0,,0
184,"32,48,96","88,72,128","136,80,144","248,128,176","248,192,216",,0,,0,,0,,0,,0
185,"8,32,56","16,72,104","32,112,152","120,0,8","192,8,8",,0,,0,,0,,0,,0
186,"240,255,114","245,255,88","251,253,62","253,255,34","255,244,0",,0,,0,,0,,0,,0
187,"0,0,255","30,215,197","42,147,142","97,169,153","170,170,170",,0,,0,,0,,0,,0
188,"101,95,69","216,174,109","255,225,171","219,181,124","184,156,114",,0,,0,,0,,0,,0
189,"244,205,179","227,210,193","255,252,244","240,240,237","242,164,92",,0,,0,,0,,0,,0
190,"214,212,168","242,221,177","251,233,195","231,226,176","170,188,191",,0,,0,,0,,0,,0
191,"191,191,191","199,199,199","204,203,203","189,188,188","171,171,171",,0,,0,,0,,0,,0
192,"223,197,148","240,226,191","111,61,69","63,24,71","178,145,118",,0,,0,,0,,0,,0
193,"169,39,23","162,160,179","222,222,210","185,167,39","44,57,92",,0,,0,,0,,0,,0
194,"174,193,103","78,116,84","186,159,132","190,246,222","247,255,239",,0,,0,,0,,0,,0
195,"79,79,79","212,212,212","233,195,236","234,158,230","224,176,227",,0,,0,,0,,0,,0
196,"251,123,67","208,166,124","234,198,52","0,171,12","4,109,0",,0,,0,,0,,0,,0
197,"176,180,110","234,200,150","255,230,193","251,197,183","221,101,125",,0,,0,,0,,0,,0
198,"242,181,106","236,189,142","246,175,156","234,162,162","240,151,151",,0,,0,,0,,0,,0
